AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Supported languages,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Developers,Publishers,Categories,Genres,Tags
Gold Hunter Playtest,"Apr 22, 2022",0 - 0,0,0,0.0,0,0,[],True,False,False,0,0,0,0,0,0,0,,,,,
BLÖCK,"Sep 20, 2022",0 - 20000,0,0,0.99,0,0,['English'],True,False,False,0,0,2,0,11,0,0,Chocobyte Studios,Chocobyte Studios,"Single-player,Steam Achievements,Family Sharing","Casual,Indie","Unforgiving,2D Platformer,Precision Platformer,Psychological Horror,Casual,Difficult,2D,Platformer,Pixel Graphics,Retro,Minimalist,Indie,Singleplayer,Character Customization,Linear"
Mind Space,"Nov 15, 2021",0 - 20000,0,0,2.99,0,0,['English'],True,False,False,0,0,2,0,0,0,0,SuperCooledGames,Palinoia Studios,"Single-player,Partial Controller Support,Family Sharing",Action,"Action,Shooter,3D,First-Person,Realistic,Aliens,Military,Old School,Sci-fi,Space,Action Roguelike,Rogue-like,FPS,Looter Shooter,Rogue-lite,Controller,Procedural Generation,Singleplayer,Early Access,Violent"
Where The Stars Brought Us,"Dec 14, 2022",0 - 20000,0,0,9.99,0,0,['English'],True,False,False,0,0,0,0,0,0,0,EbonSoft,EbonSoft,"Single-player,Family Sharing",Casual,
Project Temporality,"May 20, 2014",20000 - 50000,0,0,14.99,0,0,"['English', 'Spanish - Spain']",True,False,False,0,0,83,19,19,0,173,Defrost Games,Defrost Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Adventure,Indie","Indie,Adventure,Action,Puzzle,Time Manipulation,Singleplayer,Third Person,Sci-fi"
Anomaly Zero:Twelve,"Mar 8, 2025",0 - 20000,0,0,3.99,0,0,['English'],True,False,False,0,0,0,0,2,0,0,NostraDamon,Eyejam Games,"Single-player,Steam Achievements,Family Sharing","Casual,Indie",
Primal Dominion Playtest,"Jan 9, 2023",0 - 0,0,0,0.0,0,0,[],True,False,False,0,0,0,0,0,0,0,,,,,
Kid Pilot VR,"May 22, 2024",0 - 20000,0,0,3.99,80,0,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",True,False,False,0,0,24,6,34,0,0,Flamingo Simulation Systems,Flamingo Simulation Systems,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Family Sharing",Adventure,"Exploration,Immersive Sim,Third-Person Shooter,Flight,Action-Adventure,VR,Funny,Linear,Colorful,Stylized,Fantasy,Family Friendly,6DOF,Adventure,Combat,Singleplayer"
Halloween is Crazy as Hell,"May 11, 2022",0 - 20000,0,0,6.99,30,0,"['English', 'Portuguese - Brazil']",True,False,False,0,0,18,0,100,0,0,Ciro Fernandes (Cube Legal),Ciro Fernandes (Cube Legal),"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Remote Play Together,Family Sharing",Action,"Action,Rogue-like,Action Roguelike,Bullet Hell,Rogue-lite,2D,Pixel Graphics,Top-Down,Dark Fantasy,Supernatural,Dark,Procedural Generation,PvE,Co-op,Local Co-Op,Multiplayer,Local Multiplayer,Singleplayer"
BATTLE SHADOW ARENA,"Jun 4, 2025",0 - 20000,0,0,0.99,80,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Portuguese - Brazil']",True,False,False,0,0,0,0,21,0,0,Zni Games,Zni Games,"Single-player,Steam Achievements,Full controller support,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing","Action,Indie",
Midnight Taco,"Mar 21, 2025",0 - 20000,0,0,1.99,0,0,"['English', 'Spanish - Spain']",True,False,False,0,0,22,4,0,0,0,FrameField,FrameField,"Single-player,Family Sharing",Indie,"Horror,Psychological Horror,Atmospheric,Psychological,First-Person,Indie"
Lava Rolling Kid,"Nov 11, 2017",0 - 20000,0,0,0.0,0,0,['English'],True,False,False,0,0,3,2,0,0,151,"ElVery333,Raquel Covelo Suarez,ATopeCode",Back To Basics Gaming,"Single-player,Full controller support,Family Sharing","Adventure,Casual,Indie","Adventure,Indie,Casual"
東方ファンタジー ～toho fantasy～,"Feb 7, 2025",0 - 20000,0,0,27.49,50,0,['Japanese'],True,False,False,0,0,1,1,0,0,0,neronsoft,neronsoft,"Single-player,Partial Controller Support,Family Sharing",RPG,"RPG,Party-Based RPG,2D,Fantasy,Turn-Based Tactics,Female Protagonist,Singleplayer"
Santhai,"Jan 13, 2022",0 - 20000,1,0,12.99,0,0,"['English', 'Thai']",True,False,False,0,0,114,14,28,132,0,"Hardworker Studio,Rachan Neamprasert",Rachan Neamprasert,"Single-player,Family Sharing","Action,Adventure,Indie,RPG,Simulation","Adventure,RPG,Action,Farming Sim,Walking Simulator,Life Sim,2D Fighter,Spectacle fighter,Dungeon Crawler,Mystery Dungeon,2D Platformer,2D,Cartoon,Cute,Colorful,Agriculture,Family Friendly,Survival,PvE,Simulation"
Voidspace,"Jul 10, 2020",0 - 20000,0,0,12.99,0,0,['English'],True,True,True,0,0,11,15,0,0,0,Universe Projects Inc.,Universe Projects Inc.,"Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer,In-App Purchases,Family Sharing","Casual,Indie,Massively Multiplayer,RPG,Simulation,Early Access","Massively Multiplayer,Indie,RPG,Casual,Simulation,Early Access"
Blackwell Epiphany,"Apr 24, 2014",50000 - 100000,3,0,2.99,70,1,['English'],True,True,True,0,0,913,21,18,798,242,Wadjet Eye Games,Wadjet Eye Games,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud,Commentary available,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Adventure,Indie","Adventure,Point & Click,Indie,Female Protagonist,Supernatural,Mystery,Story Rich,Pixel Graphics,Noir,Singleplayer,2D,Detective"
Sonic Adventure 2,"Nov 19, 2012",1000000 - 2000000,234,0,4.99,50,1,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Japanese']",True,False,False,0,0,22711,2761,15,22222,833,SEGA,SEGA,"Single-player,Multi-player,Partial Controller Support,Remote Play Together,Family Sharing",Action,"Action,Great Soundtrack,3D Platformer,Platformer,Fast-Paced,Adventure,Classic,Singleplayer,Replay Value,Third Person,Local Multiplayer,Retro,Story Rich,Family Friendly,Multiplayer,3D,Split Screen,Racing,Sci-fi,Comedy"
Strategy & Tactics: Wargame Collection,"Apr 22, 2016",50000 - 100000,4,0,0.99,0,2,"['English', 'French', 'German', 'Spanish - Spain', 'Russian']",True,True,False,0,0,183,83,15,219,1168,HeroLabs,HeroLabs,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Remote Play Together,Family Sharing",Strategy,"Strategy,War,Tactical,Historical,World War II,Grand Strategy,Alternate History,Turn-Based Strategy,Replay Value,Indie,Turn-Based,Wargame"
